function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
3.1.26.4-RXN	3242.1600000000008	8694.79	14923.52	844.48	2180.8	17988.72	6014.2	68373.18000000001	42915.55999999998	5832.06
3.1.26.5-RXN	1618.46	4344.000000000001	7440.6	391.14	1088.1899999999996	8992.03	2997.05	34175.37	21461.12	2912.05
3.1.26.8-RXN	1540.14	5.07	7437.3600000000015	30.89	2.0700000000000003	8969.51	15.95	34170.86	5.31	2571.08
3.1.27.1-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
3.1.3.16-RXN	3240.15	10.31	7464.56	92.88	1473.0700000000004	17943.95	6004.15	68347.63	42907.419999999984	5159.56
3.1.31.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	482.89	0.0	0.0	0.0
3.1.4.10-RXN	0.74	0.0	0.0	0.0	0.0	0.0	1.96	0.0	0.0	0.0
3.2.1.1-RXN	0.62	4338.93	2.24	363.18000000000006	1087.1899999999996	5797.36	2403.69	5.71	21442.47	339.39
3.2.1.10-RXN	1632.7	2.22	9.63	2.87	2.14	14725.21	13.07	34171.69	4.17	2567.89
3.2.1.135-RXN	0.0	0.0	7428.59	0.0	1.0	0.0	0.0	0.0	0.0	0.0
3.2.1.136-RXN	0.0	0.0	0.0	0.0	0.0	0.0	965.78	0.0	0.0	0.0
3.2.1.139-RXN	0.0	0.0	0.0	2.93	0.0	19.9	482.89	1.29	1.2	0.0
3.2.1.14-RXN	0.74	0.0	0.0	0.0	0.0	0.0	484.85	0.0	0.0	0.0
3.2.1.141-RXN	0.0	0.0	0.0	0.0	0.0	2.28	0.0	1.09	14.54	0.0
3.2.1.156-RXN	0.0	0.0	0.0	0.0	0.0	0.0	965.78	0.0	0.0	0.0
3.2.1.17-RXN	0.0	1.47	8.48	0.0	0.0	0.0	0.0	10.43	1.1	0.0
3.2.1.18-RXN	0.5	8675.34	0.52	717.57	704.52	18.62	2.94	1.81	1.7	668.16
3.2.1.21-RXN	1982.57	30374.130000000005	20.69	2561.4300000000007	3938.89	32202.25	7242.19	34194.58	42912.38	4929.98
3.2.1.23-RXN	2012.89	21696.270000000004	29729.57	1818.77	1768.5099999999998	20674.61	1271.7199999999998	34187.23	17.700000000000006	4245.09
3.2.1.24-RXN	22.44	0.0	1.0	2.93	0.0	18.62	0.0	1.29	1.2	1.58
3.2.1.25-RXN	0.0	0.0	1.0	2.93	1.07	5778.82	0.0	2.29	1.2	1.58
3.2.1.35-RXN	0.5	8675.34	0.52	717.57	704.52	19.9	2.94	1.81	1.7	668.16
3.2.1.37-RXN	67.32000000000001	2.85	0.14	0.0	1.07	5760.2	482.89	1.17	0.14	0.24
3.2.1.40-RXN	134.64	0.0	0.0	11.72	1.07	5833.4	0.0	6.16	4.8	0.0
3.2.1.50-RXN	0.25	4337.67	0.26	366.11	352.26	55.86	1.47	4.13	3.85	334.08
3.2.1.52-RXN	113.25	17352.65	22.42	1517.7000000000005	1413.39	11712.53	596.22	28.03	30.31	1346.29
3.2.1.55-RXN	45.13	4337.67	0.26	360.25	355.47	17297.940000000002	1933.03	4.55	1.45	334.08
3.2.1.58-RXN	0.0	1.26	1.98	0.0	733.86	1.2	2401.24	1.87	21439.82	5.31
3.2.1.70-RXN	0.0	0.0	7428.59	0.0	3.14	11517.84	0.0	2.0	0.0	0.0
3.2.1.73-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
3.2.1.78-RXN	0.25	4337.67	0.26	360.25	353.33	5778.82	967.25	2.55	1.45	334.08
3.2.1.8-RXN	0.0	0.0	0.0	0.0	0.0	1.28	2897.34	0.0	0.0	0.0
3.2.1.80-RXN	22.44	0.0	0.0	5.86	0.0	37.24	0.0	2.58	2.4	0.0
3.2.1.89-RXN	52.15	0.0	1.0	0.0	1.07	5758.92	482.89	1.0	0.0	1.58
3.2.1.99-RXN	0.0	0.0	0.0	5.86	1.07	5797.440000000001	482.89	3.58	2.4	0.0
3.2.2.21-RXN	1.11	1.47	7437.0700000000015	0.0	2.0700000000000003	5761.2	2.94	12.52	16.64	0.0
3.2.2.23-RXN	1561.3	6.540000000000001	7445.840000000001	5.800000000000002	1.0	3228.2700000000004	13.07	34182.67	21.15	2566.55
3.4.11.1-RXN	1538.86	3.69	17.11	2.87	1.07	8970.43	13.07	34183.3	34.35	2566.31
3.4.11.10-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
