function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
GLUTATHIONE-REDUCT-NADPH-RXN	1.59	0.0	0.0	0.0	1.1	3.34	0.0	0.0	6.33	0.0
GLUTCYSLIG-RXN	0.0	1.47	0.0	1.5	0.0	0.0	0.0	0.0	4.2	0.0
GLUTDECARBOX-RXN	0.45	7.46	1.47	2.66	1.84	0.92	2.66	4.22	1.35	0.33
GLUTDEHYD-RXN	15.73	43.31000000000001	33.919999999999995	13.959999999999996	28.590000000000003	33.739999999999995	27.54	28.119999999999994	23.85999999999999	33.45
GLUTKIN-RXN	10.29	23.37	31.74	11.3	26.180000000000003	29.31	18.64	23.9	14.59	22.549999999999994
GLUTRACE-RXN	12.41	24.84	32.45	12.8	27.850000000000005	36.16	19.84	23.9	25.360000000000007	24.36
GLUTRNAREDUCT-RXN	5.449999999999998	7.88	10.82	4.92	24.340000000000003	12.61	7.45	3.65	3.49	10.25
GLUTSEMIALDEHYDROG-RXN	10.29	23.37	31.74	11.3	26.180000000000003	29.31	18.64	23.9	14.59	22.549999999999994
GLY3KIN-RXN	10.25	23.64	26.75	6.53	27.850000000000005	33.69	16.65	12.72	23.8	20.84
GLYC3PDEHYDROGBIOSYN-RXN	12.41	24.84	32.45	12.8	27.850000000000005	36.16	19.84	23.9	25.360000000000007	24.36
GLYCDEH-RXN	4.81	9.7	4.3599999999999985	4.92	15.61	11.33	9.08	2.65	4.58	5.98
GLYCERATE-DEHYDROGENASE-RXN	15.37	40.89	16.47	8.75	26.750000000000004	18.25	26.23	19.96	21.5	33.94
GLYCEROL-DEHYDRATASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0
GLYCEROL-KIN-RXN	10.37	17.38	38.31	10.14	34.21	34.72	20.64	20.68	21.17	24.03
GLYCERONE-KINASE-RXN	4.46	12.48	0.0	0.0	0.0	0.0	8.88	0.0	7.68	9.18
GLYCINE--TRNA-LIGASE-RXN	14.0	24.84	46.2	12.8	28.950000000000006	49.03	22.02	26.84	37.54	27.13
GLYCINE-AMIDINOTRANSFERASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
GLYCOGEN-BRANCH-RXN	17.05	34.54	36.65	16.49	42.36	44.15	30.75	27.26	23.11	39.75
GLYCOGENSYN-RXN	10.82	29.26	32.45	14.12	26.750000000000004	32.82	19.84	24.61	18.53	23.939999999999994
GLYCOLALD-DEHYDROG-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42
GLYCOLALDREDUCT-RXN	4.0299999999999985	10.0	19.06	3.69	15.04	19.32	8.0	8.21	5.35	3.86
GLYCOPHOSPHORYL-RXN	16.8	28.89	67.95	16.49	60.96000000000001	61.29	33.85	35.29	30.6	39.02
GLYCPDIESTER-RXN	11.510000000000002	32.92000000000001	13.4	9.19	29.690000000000005	25.08	14.62	14.0	23.14	14.0
GLYMALTOPHOSPHORYL-RXN	16.8	28.89	67.95	16.49	60.96000000000001	61.29	33.85	35.29	30.6	39.02
GLYOHMETRANS-RXN	11.6	18.6	19.77	12.8	27.850000000000005	22.85	18.89	20.96	16.17	26.83
GLYOXI-RXN	9.85	30.77	34.08	14.14	28.590000000000003	33.739999999999995	16.73	26.68	19.880000000000006	13.77
GLYRIBONUCSYN-RXN	10.82	24.84	32.45	12.8	26.750000000000004	32.82	19.84	23.9	19.03	24.36
GMP-REDUCT-RXN	1.59	0.0	0.0	0.0	1.1	3.34	0.0	0.0	6.33	0.42
GMP-SYN-GLUT-RXN	16.220000000000002	31.08	40.49	12.8	37.72	42.49	26.38	26.55	33.43	30.34
GPH-RXN	33.53	61.50000000000001	85.93999999999998	27.79	87.14000000000001	90.6	57.91	56.24999999999999	47.52	68.4
GPPSYN-RXN	12.41	24.84	32.45	12.8	27.850000000000005	36.16	19.84	23.9	25.360000000000007	24.36
GSAAMINOTRANS-RXN	8.82	15.91	10.82	4.92	24.340000000000003	13.61	12.8	3.65	7.33	16.26
GTP-CYCLOHYDRO-I-RXN	6.4300000000000015	15.340000000000002	26.75	6.3500000000000005	26.750000000000004	26.57	13.489999999999998	13.43	10.43	15.83
GTP-CYCLOHYDRO-II-RXN	6.71	21.58	12.45	5.03	26.180000000000003	17.31	7.6	9.78	7.68	6.43
GTPPYPHOSKIN-RXN	34.9	62.82	54.53	24.07	86.35	90.97	49.93999999999999	40.89	48.88999999999999	59.33
GUANIDINOBUTANAMIDE-NH3-RXN	2.23	6.24	0.0	0.0	0.0	0.0	3.16	0.0	4.84	4.59
GUANINE-DEAMINASE-RXN	2.6	0.0	8.04	1.4	9.87	7.799999999999999	3.38	11.94	3.73	2.93
GUANPRIBOSYLTRAN-RXN	14.0	24.84	32.45	12.8	28.950000000000006	39.5	19.84	23.9	31.69	24.36
GUANYL-KIN-RXN	14.0	24.25	32.45	12.8	28.950000000000006	39.5	19.84	23.9	31.69	24.36
H2NEOPTERINALDOL-RXN	6.4300000000000015	19.76	13.000000000000002	5.03	26.750000000000004	17.04	11.31	7.87	4.58	11.97
H2PTERIDINEPYROPHOSPHOKIN-RXN	6.880000000000001	27.22	14.47	7.689999999999999	28.590000000000003	17.96	12.69	12.09	5.43	12.3
H2PTEROATESYNTH-RXN	6.4300000000000015	15.340000000000002	13.000000000000002	5.03	26.750000000000004	17.04	11.31	7.87	5.08	11.97
HEMN-RXN	23.42	59.42	57.01000000000001	22.94	60.96000000000001	58.01	41.56	41.63999999999999	38.19	49.79
HEXOKINASE-RXN	0.0	10.37	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0
HIPPURATE-HYDROLASE-RXN	0.0	1.47	14.98	1.5	0.0	11.0	2.18	2.94	9.05	2.77
HISTAMINOTRANS-RXN	10.82	23.37	32.45	11.3	26.750000000000004	32.82	19.84	23.9	15.329999999999998	24.779999999999994
HISTCYCLOHYD-RXN	8.589999999999998	17.130000000000006	32.45	11.3	26.750000000000004	29.04	16.679999999999996	23.9	11.989999999999998	19.770000000000003
HISTIDINE--TRNA-LIGASE-RXN	12.41	24.84	32.45	12.8	27.850000000000005	36.16	21.119999999999994	23.9	25.360000000000007	24.36
HISTIDINE-AMMONIA-LYASE-RXN	13.38	43.39	0.0	0.0	0.0	3.78	20.34	0.0	23.04	27.96
HISTIDPHOS-RXN	11.27	38.25000000000001	33.919999999999995	15.459999999999996	28.590000000000003	35.21	23.88	29.299999999999994	19.880000000000006	24.27
HISTONE-ACETYLTRANSFERASE-RXN	0.0	0.0	13.75	0.0	0.0	9.53	2.18	2.94	5.85	2.77
HISTPRATPHYD-RXN	8.589999999999998	16.540000000000006	46.2	12.62	26.750000000000004	38.57	18.86	28.73	17.34	22.54
