function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
RXN1G-760	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-79	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-818	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-820	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-840	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-853	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-881	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-883	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-884	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-89	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-912	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-915	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-94	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-951	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-962	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN3O-102	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN3O-1803	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN3O-4113	14.92	15.920000000000002	18.53	16.849999999999998	19.95	13.46	14.57	17.0	12.52	14.97
RXN3O-5293	1.96	0.0	4.22	3.8	6.92	0.0	1.0	1.17	1.31	3.38
RXN3O-54	1.96	0.0	8.11	3.8	9.52	0.0	1.0	1.17	2.62	4.8599999999999985
RXN66-1	1.96	0.0	4.22	3.8	6.92	0.0	1.0	1.17	1.31	3.38
RXN66-3	7.0299999999999985	7.84	6.15	5.81	4.22	8.389999999999999	5.88	6.5	2.0	3.46
RXN66-336	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0
RXN66-337	8.63	11.68	8.790000000000001	9.99	5.6099999999999985	16.48	8.99	11.95	7.18	4.03
RXN66-343	1.96	0.0	3.89	3.14	6.51	0.0	1.0	1.17	1.31	3.38
RXN66-469	9.31	1.71	20.18	14.62	31.49	3.02	7.649999999999999	8.56	12.23	18.06
RXN66-472	7.0299999999999985	7.84	6.15	5.81	4.22	8.389999999999999	5.88	6.5	2.0	3.46
RXN66-476	7.0299999999999985	7.84	6.15	5.81	4.22	8.389999999999999	5.88	6.5	2.0	3.46
RXN66-477	9.31	1.71	20.18	14.62	31.49	3.02	7.649999999999999	8.56	12.23	18.06
RXN66-478	14.92	15.920000000000002	18.53	16.849999999999998	19.95	13.46	14.57	17.0	12.52	14.97
RXN66-479	7.0299999999999985	7.84	6.15	5.81	4.22	8.389999999999999	5.88	6.5	2.0	3.46
RXN66-480	9.31	1.71	20.18	14.62	31.49	3.02	7.649999999999999	8.56	12.23	18.06
RXN66-483	9.31	1.71	20.18	14.62	31.49	3.02	7.649999999999999	8.56	12.23	18.06
RXN66-484	9.31	1.71	20.18	14.62	31.49	3.02	7.649999999999999	8.56	12.23	18.06
RXN66-521	22.29	16.26	28.96	31.770000000000007	41.75	19.71	20.67	25.060000000000002	17.53	25.97
RXN66-532	14.84	17.53	16.959999999999994	14.79	18.9	16.48	15.14	14.93	12.04	14.81
RXN66-542	0.0	0.0	0.33	0.66	0.41	0.0	0.0	0.0	0.0	0.0
RXN66-546	15.41	13.580000000000002	16.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN66-579	1.96	0.0	3.89	3.14	6.51	0.0	1.0	1.17	1.31	3.38
RXN6666-4	0.0	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN6666-5	7.0299999999999985	7.84	6.15	5.81	4.22	8.389999999999999	5.88	6.5	2.0	3.46
RXN8J2-140	2.0700000000000003	1.34	3.22	4.42	0.41	3.23	3.1	5.449999999999998	2.4000000000000004	1.05
RXNN-404	0.0	1.34	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S-2-HYDROXY-ACID-OXIDASE-RXN	0.0	0.0	3.22	0.66	0.41	3.02	0.0	0.0	0.0	0.0
S-ADENMETSYN-RXN	14.52	14.29	16.959999999999994	16.21	17.900000000000006	16.48	14.58	16.13	13.07	14.269999999999998
S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN	9.98	17.6	11.23	10.33	10.25	16.24	9.49	8.92	9.37	6.039999999999999
