function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
GLYCERATE-DEHYDROGENASE-RXN	6.6099999999999985	0.81	9.14	5.88	5.4700000000000015	7.0600000000000005	7.8900000000000015	5.06	5.13	7.7
GLYCEROL-DEHYDRATASE-RXN	2.36	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	1.48
GLYCEROL-KIN-RXN	5.57	3.65	5.4	8.11	7.090000000000002	7.6099999999999985	8.38	5.15	5.47	9.82
GLYCERONE-KINASE-RXN	0.84	0.0	0.13	0.0	0.39	2.0	1.1	0.49	0.32	0.18
GLYCINE--TRNA-LIGASE-RXN	10.39	7.89	8.729999999999999	9.72	19.44	15.99	14.57	12.03	9.69	11.58
GLYCINE-AMIDINOTRANSFERASE-RXN	0.0	0.0	0.0	1.24	0.0	0.0	0.0	0.0	0.0	1.08
GLYCOGEN-BRANCH-RXN	7.050000000000002	6.39	11.74	10.04	11.78	11.68	16.59	9.61	9.48	9.669999999999998
GLYCOGENSYN-RXN	6.459999999999999	4.23	7.72	7.0299999999999985	9.36	9.62	11.35	7.55	7.49	5.949999999999998
GLYCOLALDREDUCT-RXN	2.9799999999999995	1.14	4.22	3.7	3.5	5.05	5.29	3.55	4.8	4.29
GLYCOLATE-REDUCTASE-RXN	0.0	0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
GLYCOPHOSPHORYL-RXN	9.6	6.39	11.87	11.06	13.56	11.68	18.270000000000003	10.1	9.86	10.82
GLYCPDIESTER-RXN	7.879999999999999	5.27	9.27	4.7	10.97	13.74	11.340000000000002	15.32	7.97	10.579999999999998
GLYMALTOPHOSPHORYL-RXN	9.6	6.39	11.87	11.06	13.56	11.68	18.270000000000003	10.1	9.86	10.82
GLYOHMETRANS-RXN	8.3	6.619999999999999	9.28	8.92	15.32	12.86	14.83	10.660000000000002	8.91	9.0
GLYOXI-RXN	7.199999999999998	6.409999999999998	9.06	5.82	5.93	7.59	9.49	8.21	7.1	7.86
GLYOXII-RXN	0.0	0.5	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLYOXIII-RXN	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLYOXYLATE-REDUCTASE-NADP+-RXN	0.96	1.89	0.56	0.0	0.0	0.0	0.0	0.8899999999999999	0.0	1.06
GLYRIBONUCSYN-RXN	7.050000000000002	7.619999999999999	8.15	7.78	7.97	9.61	10.99	7.439999999999999	7.91	7.14
